time_s,wheel0_corrected_rad_s,wheel1_corrected_rad_s,wheel2_corrected_rad_s,wheel3_corrected_rad_s
0.00000000,42.03487661,41.90809211,41.86169641,41.88768079
0.01000000,41.99998521,41.95685964,41.87854146,41.92531407
0.02000000,42.01204145,41.92378819,41.83230606,41.89000498
0.03000000,41.96659352,41.89761697,41.82935977,41.88884870
0.04000000,41.88851767,41.94769224,41.73954723,41.95084491
0.05000000,42.07915678,41.99316158,41.81192502,41.88687261
0.06000000,42.05121540,41.88858621,41.72723717,41.90763803
0.07000000,42.19030189,41.62720869,41.64050216,41.86715666
0.08000000,42.01912071,42.02503467,41.82954165,41.85397978
0.09000000,42.14141950,41.91735954,41.81833352,41.89968610
0.10000000,41.81098410,42.32452745,41.82324899,41.85079745
0.11000000,42.08253600,41.74150568,41.71306525,41.84154242
0.12000000,42.06941350,41.79346142,41.72465167,41.87118750
0.13000000,42.30124058,41.93529214,41.70797009,41.79757943
0.14000000,42.13807805,42.01844776,41.74241474,41.80576473
0.15000000,42.00343165,42.18662284,41.70575923,41.76276564
0.16000000,41.96248909,41.85406172,41.77604792,41.68056536
0.17000000,42.07977364,41.91706973,41.74228333,41.73630384
0.18000000,42.17363066,41.86638184,41.78488846,41.76890348
0.19000000,42.07714576,41.99254981,41.72629415,41.83490063
0.20000000,41.99369725,41.90786371,41.72754186,41.81114872
0.21000000,41.99432910,41.91096758,41.78948380,41.78301299
0.22000000,42.08672330,41.88740563,41.89298682,41.81703389
0.23000000,42.15464196,41.88153800,41.83293464,41.80055672
0.24000000,42.03758090,41.94427850,41.84974321,41.90863218
0.25000000,41.91805890,41.88599968,41.85896955,41.94474662
0.26000000,41.98838427,41.89638565,41.77081734,42.07099472
0.27000000,42.08274078,41.88467468,41.69786931,41.72078338
0.28000000,42.11510378,41.89949119,41.81540648,42.21156462
0.29000000,42.03447254,41.88878159,41.87153541,41.62854859
0.30000000,41.98549543,41.92595942,41.79917659,41.79830736
0.31000000,42.00622764,41.93058688,41.85611119,42.09612674
0.32000000,42.05723833,41.89855254,41.82548693,41.75622189
0.33000000,42.06985567,41.91101845,41.69199548,42.08146015
0.34000000,42.01859153,41.92083780,41.79270473,41.61367297
0.35000000,41.99382155,41.92579645,41.77190064,41.92704033
0.36000000,41.99437457,41.89289270,41.84747290,41.96579344
0.37000000,42.06867126,41.87679779,41.79920785,41.90730853
0.38000000,42.05518076,41.90389823,41.80630389,41.88968001
0.39000000,42.01057663,41.93979221,41.81837371,41.88183714
0.40000000,41.97520009,41.93078880,41.81434736,41.89549756
0.41000000,41.97153011,41.87632345,41.83733602,41.94019994
0.42000000,42.03767151,41.81780255,41.78625219,41.92829905
0.43000000,42.04288890,41.85934259,41.83213812,41.90029815
0.44000000,42.02098773,41.92448022,41.84920498,41.90392968
0.45000000,41.95552929,41.90808935,41.86169582,41.92353196
0.46000000,41.94993738,41.92723797,41.90535142,41.88507416
0.47000000,41.98530069,41.86285447,41.82991584,41.94368040
0.48000000,42.05635948,41.91101872,41.78517486,41.89779722
0.49000000,42.00509182,41.90737094,41.80608532,41.90616707
0.50000000,41.95343779,41.82290005,41.81640693,41.88686551
0.51000000,41.98988045,41.87611888,41.82961680,41.92103420
0.52000000,41.99662925,41.84998234,41.79919041,41.83707666
0.53000000,42.05517898,41.90837248,41.78959634,41.86289435
0.54000000,41.98577913,41.85924546,41.78267729,41.85953104
0.55000000,41.99637398,41.93079924,41.80990805,41.83297085
0.56000000,41.98050365,41.87629683,41.81065564,41.85496896
0.57000000,41.99722325,41.91595732,41.78625596,41.84772220
0.58000000,42.01588671,41.89950341,41.80474702,41.86004157
0.59000000,41.98327165,41.83975610,41.78871219,41.85479046
0.60000000,42.04239228,41.89025299,41.86169582,41.87873978
0.61000000,42.02620210,41.86692957,41.81164275,41.92531407
0.62000000,42.03022976,41.88515786,41.82991182,41.93697432
0.63000000,42.00694201,41.91101889,41.81618784,41.91563275
0.64000000,41.99151283,41.88504582,41.84429136,41.91509708
0.65000000,42.06667067,41.87652206,41.86546542,41.89134061
0.66000000,42.03486633,41.86272065,41.89218258,41.92101590
0.67000000,42.03712449,41.89470111,41.87954953,41.89061509
0.68000000,42.05969145,41.89048159,41.85557721,41.84951723
0.69000000,42.06680991,41.98917569,41.87226286,41.94437193
0.70000000,42.06833611,41.88153246,41.84555591,41.85080447
0.71000000,42.02988011,41.93331408,41.87745053,41.89531578
0.72000000,42.09173927,41.89807837,41.80841017,41.90144944
0.73000000,42.07178690,41.96657045,41.81808700,41.85111085
0.74000000,42.05519533,41.92004379,41.82207141,41.84141853
0.75000000,42.06039884,41.91256273,41.82148652,41.85191317
0.76000000,42.05318526,41.92387403,41.84730962,41.82262014
0.77000000,42.10232122,41.97012516,41.81210193,41.85981797
0.78000000,42.06674253,41.95127365,41.83844317,41.89778743
0.79000000,42.10924007,41.92978596,41.77100761,41.86604073
0.80000000,42.08921072,41.95271737,41.82533989,41.92706122
0.81000000,42.13417551,41.97021297,41.78503617,41.93892145
0.82000000,42.08219996,41.97991476,41.83043060,41.88388245
0.83000000,42.02065356,41.94420419,41.83325808,41.92988966
0.84000000,42.09421518,41.90395623,41.83197005,41.92199762
0.85000000,42.10888285,41.95323711,41.83664359,41.89997143
0.86000000,42.18326879,42.01407160,41.82402500,41.94018955
0.87000000,42.07968771,41.97865952,41.76854863,41.89134334
0.88000000,42.09475243,42.00244075,41.83583906,41.85110455
0.89000000,42.04621411,41.99163654,41.78537433,41.89051497
0.90000000,42.13258598,41.97514861,41.82594996,41.85192988
0.91000000,42.05318544,41.98435147,41.80718290,41.85827816
0.92000000,42.07543498,41.93431478,41.83436387,41.91346192
0.93000000,42.09517240,41.96471019,41.82063366,41.88887808
0.94000000,42.13637614,41.95665036,41.85430499,41.94190330
0.95000000,42.10273328,41.96169811,41.85654306,41.93154476
0.96000000,42.02136037,41.96010361,41.82515189,41.92551432
0.97000000,42.08195951,41.93949654,41.87509806,41.88722907
0.98000000,42.05454720,41.91731864,41.79314261,41.88074905
0.99000000,42.13942274,41.93082580,41.83534667,41.85954852
1.00000000,42.04582808,41.93079276,41.78319600,41.86420204
1.01000000,42.03933319,41.95681531,41.84178020,41.85048134
1.02000000,42.04312314,41.92042702,41.87949356,41.85103287
1.03000000,42.07217297,41.89502188,41.85810132,41.91821587
1.04000000,42.04171272,41.92896523,41.88744793,41.87266097
1.05000000,42.04239594,41.90363189,41.80938553,41.86532427
1.06000000,42.01540327,41.93730554,41.84281280,41.89400876
1.07000000,41.99829307,41.89408759,41.82100416,41.84311427
1.08000000,42.00520976,41.91101805,41.87856972,41.88885306
1.09000000,41.99655240,41.84931195,41.85501765,41.91062316
1.10000000,41.92744487,41.82290005,41.83874004,41.86011353
1.11000000,42.01324083,41.84261671,41.83407787,41.92996395
1.12000000,42.00486166,41.82319798,41.82594196,41.90399489
1.13000000,42.03652414,41.85472570,41.83325053,41.88966700
1.14000000,41.99509408,41.84584931,41.79011048,41.92647137
1.15000000,41.96050187,41.86812466,41.86344517,41.86420735
1.16000000,41.95518718,41.85287433,41.81953979,41.91326153
1.17000000,41.98015793,41.84898604,41.87059287,41.90478299
1.18000000,42.00016284,41.88611271,41.80028540,41.93166491
1.19000000,41.99683762,41.81309342,41.83392818,41.90840579
1.20000000,41.94387710,41.84570980,41.82611419,41.91456447
1.21000000,41.96721469,41.79011518,41.83392233,41.88507416
1.22000000,41.94448905,41.88961473,41.83436312,41.90675971
1.23000000,41.97831404,41.84855140,41.82954339,41.87996272
1.24000000,42.05056931,41.88061304,41.81500092,41.93296166
1.25000000,41.93191981,41.94374251,41.83539284,41.88240556
1.26000000,41.96398012,41.81585489,41.83854119,41.92550212
1.27000000,42.00935778,41.87232216,41.86168574,41.91069510
1.28000000,42.03652157,41.87259158,41.86005427,41.89860176
1.29000000,42.03558970,41.89053145,41.88411012,41.94437752
1.30000000,42.02809497,41.91286906,41.83333266,41.90442327
1.31000000,42.04731401,41.93333729,41.88636036,41.95370273
1.32000000,42.07467024,41.87574664,41.79067472,41.93505750
1.33000000,42.05415251,41.89056071,41.81364558,41.90925179
1.34000000,42.06419053,41.92894922,41.82944384,41.90393873
1.35000000,42.05163449,42.01099959,41.83617597,41.86532566
1.36000000,42.05254929,41.85018569,41.82945773,41.83598939
1.37000000,41.98481584,41.92089076,41.81210268,41.82972851
1.38000000,42.17196735,41.90655103,41.80285454,41.85769693
1.39000000,42.07639717,41.97461876,41.82832262,41.85713481
1.40000000,42.12335717,41.96170102,41.78531589,41.86009581
1.41000000,41.99092805,41.93992142,41.82960936,41.89426869
1.42000000,42.08599472,41.93950303,41.79474255,41.81033704
1.43000000,42.14947083,41.90837248,41.76209217,41.80501683
1.44000000,42.12563465,41.95324843,41.82139986,41.71743302
1.45000000,42.05434798,41.97568245,41.78323460,41.80180211
1.46000000,42.02932653,41.95348496,41.82845669,41.80128367
1.47000000,42.08821503,41.93385223,41.78624842,41.78068332
1.48000000,42.11279242,41.93077428,41.72940147,41.90031328
1.49000000,42.07567863,41.94237027,41.72280210,41.75686940
1.50000000,42.01860845,41.95914018,41.76258307,41.82957950
1.51000000,42.12016782,42.00435316,41.77943216,41.87614169
1.52000000,42.06576783,41.99255923,41.78986115,41.84309040
1.53000000,42.03745980,41.94232091,41.81172772,41.90670057
1.54000000,41.95809767,41.87164689,41.79724751,41.92848756
1.55000000,42.03768840,41.92443977,41.79619805,41.95838816
1.56000000,42.10357574,41.95090247,41.82706737,41.92999446
1.57000000,42.09952166,41.91260724,41.79922609,41.96772764
1.58000000,42.04276947,41.89494632,41.83341618,41.88968421
1.59000000,42.06573262,41.89947514,41.76781818,41.84173530
1.60000000,42.02287297,41.96934296,41.79979753,41.89549225
1.61000000,42.02932585,41.95453016,41.85153380,41.90427259
1.62000000,42.02509587,41.93385084,41.82617400,41.89468033
1.63000000,42.02603877,41.86827765,41.83581866,41.89581521
1.64000000,42.08435500,41.90212924,41.78052487,41.87711626
1.65000000,42.03660204,41.95577238,41.86513503,41.91006819
1.66000000,42.02556601,41.90577220,41.83287678,41.88507918
1.67000000,41.99830404,41.88962091,41.84327647,41.87321663
1.68000000,42.04086474,41.87976081,41.85626481,41.91117055
1.69000000,42.07053642,41.88506383,41.85501188,41.87940650
1.70000000,42.04667329,41.91772267,41.84521117,41.84674695
1.71000000,42.04492355,41.92400046,41.88399201,41.86304012
1.72000000,42.00443311,41.88127439,41.85720788,41.86380659
1.73000000,42.01994448,41.89494373,41.90037577,41.85843106
1.74000000,41.99369970,41.85477615,41.94704095,41.91308400
1.75000000,42.03635587,41.91215188,41.88009652,41.89994844
1.76000000,42.06081379,41.91868797,41.82811271,41.90875876
1.77000000,42.08633025,41.98314121,41.78625776,41.88462976
1.78000000,41.96755284,41.85490188,41.81807548,41.91372909
1.79000000,41.95415995,41.89768973,41.86066898,41.89052518
1.80000000,41.96025838,41.82865938,41.83829253,41.89216110
1.81000000,42.07957741,41.91919137,41.81280329,41.88507248
1.82000000,42.03818383,41.91195929,41.81210343,41.89331824
1.83000000,41.99288065,41.91548771,41.76727694,41.90672997
1.84000000,42.00300664,41.89397121,41.81943914,41.88832872
1.85000000,41.99720433,41.93116654,41.78729597,41.98079956
