time_s,wheel0_corrected_rad_s,wheel1_corrected_rad_s,wheel2_corrected_rad_s,wheel3_corrected_rad_s
0.00000000,41.56521937,41.44745822,41.25636936,41.32903447
0.01000000,41.52894483,41.48297566,41.22617001,41.34988700
0.02000000,41.51690691,41.46483607,41.22574206,41.36416307
0.03000000,41.55997899,41.43548822,41.21751808,41.37699310
0.04000000,41.57774460,41.47543404,41.24831520,41.31461757
0.05000000,41.61389860,41.52585990,41.35551694,41.42013135
0.06000000,41.54778636,41.51470962,41.31494874,41.41715310
0.07000000,41.65173096,41.57482329,41.28617608,41.41311514
0.08000000,41.62196473,41.48885943,41.37695816,41.55134578
0.09000000,41.67987957,41.54909642,41.41743301,41.51141492
0.10000000,41.67059776,41.61506378,41.34500666,41.55785086
0.11000000,41.77886042,41.62761509,41.41801603,41.44553668
0.12000000,41.69298834,41.66421568,41.37196034,41.52779144
0.13000000,41.72841019,41.64541803,41.47977573,41.58911871
0.14000000,41.78458222,41.68159973,41.51058254,41.58934103
0.15000000,41.81878226,41.67147606,41.53167119,41.56457003
0.16000000,41.79938371,41.77009988,41.53155493,41.62893474
0.17000000,41.84430264,41.79422353,41.48250852,41.64755475
0.18000000,41.88307043,41.77629510,41.48959680,41.67308979
0.19000000,41.94596686,41.83847704,41.44403976,41.67285220
0.20000000,41.88943783,41.80028004,41.54773554,41.70469351
0.21000000,41.84002265,41.83357346,41.54217867,41.70499385
0.22000000,41.96727249,41.86084313,41.59693797,41.71690626
0.23000000,42.04940916,41.81733684,41.62648665,41.75372851
0.24000000,41.97853456,41.92157660,41.73519554,41.77703822
0.25000000,41.96895967,41.92124906,41.57371749,41.78474142
0.26000000,42.06390158,41.96520244,41.68418321,41.68430003
0.27000000,41.92909277,41.92164772,41.67420660,41.76310019
0.28000000,41.95155361,42.00237475,41.73490028,41.89911958
0.29000000,41.99015517,41.95743286,41.79482840,41.82433082
0.30000000,42.08781044,42.00534474,41.75476946,41.88392682
0.31000000,42.07510309,42.02464894,41.78230892,41.94924989
0.32000000,42.12709419,42.05409522,41.80485104,41.89599538
0.33000000,42.19765370,42.04848572,41.78982288,42.01989366
0.34000000,42.16189882,42.13080215,41.76554440,41.97019362
0.35000000,42.15453204,42.13259784,41.90386805,42.05138086
0.36000000,42.10840852,42.09853860,41.90125384,42.02103859
0.37000000,42.25582787,42.18182825,41.96170361,42.06517974
0.38000000,42.29370968,42.08497220,41.92842955,42.09955428
0.39000000,42.23148268,42.20535425,42.03974161,42.10483847
0.40000000,42.28259075,42.15951471,41.93848964,42.14567901
0.41000000,42.48904448,42.27189128,41.95470064,42.00697609
0.42000000,42.41400552,42.30285388,41.95405168,42.15380019
0.43000000,42.34557620,42.32896318,42.00662865,42.17858837
0.44000000,42.36401931,42.28236732,42.07684481,42.20226778
0.45000000,42.41931317,42.32638142,42.08183288,42.22184121
0.46000000,42.44112578,42.38924086,42.23435233,42.27448383
0.47000000,42.49181261,42.38358654,42.26373878,42.28399032
0.48000000,42.59596856,42.38972836,42.31213414,42.34679955
0.49000000,42.61807244,42.49624235,42.23684629,42.35359374
0.50000000,42.61215669,42.49200871,42.29233199,42.37656310
0.51000000,42.60635807,42.52000950,42.31645193,42.45602109
0.52000000,42.73246546,42.54474755,42.33291102,42.43725739
0.53000000,42.69810419,42.50888707,42.41255051,42.43160065
0.54000000,42.71634943,42.58291564,42.40580500,42.44699560
0.55000000,42.73831582,42.62115361,42.34961101,42.44064746
0.56000000,42.87685463,42.64054842,42.41522766,42.31001455
0.57000000,42.77533305,42.64965972,42.36951517,42.53363318
0.58000000,42.87886898,42.75065241,42.51431453,42.50261840
0.59000000,42.93961759,42.72641873,42.52036135,42.53266664
0.60000000,42.87733048,42.79532605,42.52716946,42.56275285
0.61000000,42.88057729,42.81805682,42.50315530,42.56857086
0.62000000,42.92988391,42.82693819,42.55570623,42.59548348
0.63000000,43.00893646,42.86118481,42.63171345,42.65043756
0.64000000,43.09078525,42.87170323,42.68087497,42.66408016
0.65000000,42.95556579,42.89476988,42.70929742,42.75371915
0.66000000,43.01064212,42.88410487,42.70520929,42.71343091
0.67000000,43.09756643,42.96600479,42.69362371,42.78544228
0.68000000,43.12951007,42.89282027,42.80956477,42.81084839
0.69000000,43.09153408,43.02900461,42.79349164,42.84194233
0.70000000,43.22091220,43.06139952,42.72335263,42.84565274
0.71000000,43.19167251,43.09926660,42.79985393,42.76277188
0.72000000,43.20074624,43.10630936,42.82372897,42.97327437
0.73000000,43.23464733,43.13952932,42.89022892,42.95166781
0.74000000,43.26605615,43.12918999,42.95110057,42.95454354
0.75000000,43.25681832,43.22450476,42.98619094,43.06670996
0.76000000,43.34758568,43.26954104,42.98684496,43.04750701
0.77000000,43.39204447,43.26591502,43.00145563,43.08626202
0.78000000,43.50570675,43.32338908,43.03224328,43.13917625
0.79000000,43.44864660,43.35301932,43.07285784,43.11271673
0.80000000,43.33301252,43.35042286,43.15519877,43.20259631
0.81000000,43.45085971,43.39392152,43.24130477,43.20345452
0.82000000,43.58329210,43.42423000,43.17145338,43.25619897
0.83000000,43.49384600,43.43268170,43.28743925,43.29640299
0.84000000,43.53381282,43.47423399,43.18063042,43.31256155
0.85000000,43.65001988,43.50482887,43.20457664,43.27725199
0.86000000,43.63485308,43.62853508,43.30137866,43.33297121
0.87000000,43.70521458,43.62518445,43.31609805,43.47445124
0.88000000,43.68382493,43.59534070,43.39219376,43.42028342
0.89000000,43.72159737,43.62156422,43.39004449,43.43191876
0.90000000,43.71687124,43.77233040,43.45886457,43.51633924
0.91000000,43.84969614,43.75156353,43.44189585,43.52245535
0.92000000,43.85048078,43.77537346,43.48826034,43.58870933
0.93000000,43.90056467,43.74723097,43.44133693,43.59514280
0.94000000,43.83417004,43.89335928,43.54377304,43.65002514
0.95000000,43.90571022,43.87684441,43.56492453,43.66600781
0.96000000,43.98316225,43.86943669,43.56431493,43.70693318
0.97000000,43.93208727,43.85857781,43.57645203,43.73964366
0.98000000,43.94625615,43.96222442,43.70582301,43.77662929
0.99000000,44.09583321,44.00108046,43.63607813,43.76350060
1.00000000,44.17051289,44.04838696,43.70853709,43.71219196
1.01000000,44.09747780,44.00138182,43.79081986,43.89547033
1.02000000,44.14797282,44.08740172,43.79446914,43.89705395
1.03000000,44.16063794,44.12196280,43.86785459,43.85092791
1.04000000,44.13647678,44.21333300,43.95493212,44.05286326
1.05000000,44.19578698,44.19918724,43.86907895,43.98626700
1.06000000,44.48598191,44.26584364,43.90065797,44.08476160
1.07000000,44.46074282,44.29233469,43.89307742,44.09312791
1.08000000,44.37436613,44.33682585,43.99458652,44.10241859
1.09000000,44.24548596,44.31690668,44.06893043,44.16096832
1.10000000,44.42479330,44.36006102,44.11247111,44.16891125
1.11000000,44.47406212,44.40149390,44.13950290,44.23371787
1.12000000,44.49844130,44.38723313,44.22238835,44.25477372
1.13000000,44.54711998,44.49139209,44.13225690,44.22975521
1.14000000,44.55443977,44.44262340,44.19501866,44.19847127
1.15000000,44.56534031,44.58145696,44.25102528,44.29588100
1.16000000,44.68527397,44.55122997,44.29846075,44.40064818
1.17000000,44.68953967,44.55639769,44.34066910,44.36778073
1.18000000,44.67717560,44.64633536,44.30514258,44.41598818
1.19000000,44.71269770,44.71454678,44.35514846,44.48014648
1.20000000,44.80893316,44.71742888,44.38144359,44.52832061
1.21000000,44.84139016,44.73212033,44.41460515,44.52143932
1.22000000,44.80825768,44.77851296,44.51137076,44.55369887
1.23000000,44.82485838,44.78404340,44.55519493,44.62194185
1.24000000,44.93227243,44.85103894,44.51397137,44.60390193
1.25000000,44.93582190,44.84459188,44.52081542,44.69347821
1.26000000,44.94169753,44.90466398,44.56613682,44.69863653
1.27000000,45.03323931,44.93760024,44.59121878,44.73483741
1.28000000,45.04522435,44.92459093,44.74128001,44.71201019
1.29000000,45.04129199,45.01502637,44.71558429,44.81702358
1.30000000,45.12056324,45.04514178,44.74307813,44.89248580
1.31000000,45.16775014,45.08263728,44.77634047,44.85184180
1.32000000,45.13987035,45.16182066,44.83198232,44.92628611
1.33000000,45.17046777,45.17279508,44.84168644,44.96660070
1.34000000,45.24190700,45.19684901,44.85267779,44.99124792
1.35000000,45.31209326,45.21721864,44.82681573,45.05614750
1.36000000,45.27728515,45.25003716,44.85147317,45.04195944
1.37000000,45.28560145,45.29444496,44.98894737,45.14877735
1.38000000,45.40770927,45.30701152,45.02720593,45.08332665
1.39000000,45.40892441,45.30262717,44.99987067,45.17670137
1.40000000,45.41933374,45.37658326,45.14360707,45.18958625
1.41000000,45.53095971,45.37713603,45.00598469,45.21154178
1.42000000,45.55223632,45.45384838,45.10636491,45.12618298
1.43000000,45.53854845,45.47760771,45.14645567,45.24593115
1.44000000,45.56730897,45.46943556,45.24199464,45.35441571
1.45000000,45.61559359,45.45713464,45.29535607,45.26353347
1.46000000,45.58820166,45.59292467,45.30858905,45.38279940
1.47000000,45.65209125,45.62198274,45.35081977,45.41582289
1.48000000,45.76972979,45.71625050,45.33924286,45.40041585
1.49000000,45.76343736,45.67934300,45.34144193,45.42512532
1.50000000,45.75711581,45.75775923,45.40581443,45.42569806
1.51000000,45.76118107,45.68260472,45.50194755,45.49397435
1.52000000,45.89794108,45.74187899,45.51941802,45.47731100
1.53000000,45.84835430,45.72000705,45.53207229,45.56178474
1.54000000,45.86052019,45.83350938,45.63363507,45.63645096
1.55000000,46.00811230,45.86942910,45.51966872,45.60176840
1.56000000,46.00402990,45.91814402,45.61654947,45.64782210
1.57000000,45.95951687,45.90368288,45.65925360,45.76121894
1.58000000,46.07766907,45.94427187,45.72132106,45.89880828
1.59000000,46.06589282,45.94177942,45.74466647,45.83325432
1.60000000,46.11900944,46.03994788,45.75560828,45.88646374
1.61000000,46.14740048,45.98743960,45.78359436,45.95689134
1.62000000,46.26286114,46.11864465,45.78868714,45.94670176
1.63000000,46.25129349,46.14679071,45.83058592,45.96793381
1.64000000,46.21801128,46.18134534,45.90286997,45.97623182
1.65000000,46.31621042,46.15078428,45.95716738,45.91877565
1.66000000,46.37231738,46.16354357,45.97349676,45.91296682
1.67000000,46.37616381,46.25327246,46.00663995,46.00062509
1.68000000,46.48248647,46.32231074,46.04968341,45.99453831
1.69000000,46.50863853,46.34160688,46.06099804,46.09404394
1.70000000,46.46222293,46.32126261,46.11261621,46.07893905
1.71000000,46.52632323,46.35137445,46.18526639,46.23733281
1.72000000,46.57905700,46.39803487,46.25118670,46.24486543
1.73000000,46.61221937,46.49010686,46.24657671,46.18122853
1.74000000,46.64058175,46.54524428,46.33532802,46.30729071
1.75000000,46.71705314,46.52613178,46.29536617,46.28834494
1.76000000,46.79656443,46.57462817,46.36900189,46.36719253
