wheel,valid_points,mean_rad_s,median_rad_s,residual_std_pct,residual_p95_abs_pct,residual_p99_abs_pct,series
0,43422,49.74089937,56.37853988,0.24992927,0.26310082,0.47945385,raw_reference
1,43599,49.20599804,56.12592728,0.27588835,0.31740184,0.52047471,raw_reference
2,43353,49.49185023,56.04782441,0.30620640,0.39505723,0.79139636,raw_reference
3,43630,49.20157203,56.11269457,0.39003430,0.62061780,1.30083444,raw_reference
0,43422,49.74092711,56.37183025,0.23733075,0.23100346,0.46867277,phase_corrected
1,43599,49.20599801,56.12646236,0.24002936,0.22499449,0.49116843,phase_corrected
2,43353,49.49183795,56.04893466,0.26632265,0.28044276,0.75267843,phase_corrected
3,43630,49.20159242,56.11639660,0.33401191,0.59079122,1.28462022,phase_corrected
0,43422,49.48964592,56.07183290,2.42123814,2.94345638,3.33103763,reference_compensation_on
1,43599,49.00160171,55.83266961,2.26497648,2.53073554,2.95836222,reference_compensation_on
2,43353,49.31046234,55.80886544,2.18396923,2.20340760,2.63155198,reference_compensation_on
3,43630,49.00204730,55.88451391,2.23653624,2.26813639,2.77604579,reference_compensation_on
0,43422,49.98862228,56.58080566,2.31416031,2.89512541,3.26321400,reference_plus_or_diagnostic
1,43599,49.40865161,56.34456521,2.11982926,2.49368498,2.91722022,reference_plus_or_diagnostic
2,43353,49.67103194,56.29489040,2.07465973,2.17290923,2.59545923,reference_plus_or_diagnostic
3,43630,49.39871339,56.31305395,2.13974790,2.22659361,2.83166986,reference_plus_or_diagnostic
