t,wheel_1_mph,wheel_2_mph,wheel_3_mph,wheel_4_mph
0.008980762,0.0,0.0,0.0,0.0
0.018230533,0.0,0.0,0.0,0.0
0.029208869,0.0,0.0,0.0,0.0
0.038235743,0.0,0.0,0.0,0.0
0.04899214,0.0,0.0,0.0,0.0
0.05823309,0.0,0.0,0.0,0.0
0.06884979,0.0,0.0,0.0,0.0
0.07820969,0.0,0.0,0.0,0.0
0.08883855,0.0,0.0,0.0,0.0
0.098218955,0.0,0.0,0.0,0.0
0.10885568,0.0,0.0,0.0,0.0
0.11793572,0.0,0.0,0.0,0.0
0.12936175,0.0,0.0,0.0,0.0
0.13816763,0.0,0.0,0.0,0.0
0.14898196,0.0,0.0,0.0,0.0
0.15794495,0.0,0.0,0.0,0.0
0.16874473,0.0,0.0,0.0,0.0
0.1778517,0.0,0.0,0.0,0.0
0.18878403,0.0,0.0,0.0,0.0
0.1978991,0.0,0.0,0.0,0.0
0.20871677,0.0,0.0,0.0,0.0
0.21786928,0.0,0.0,0.0,0.0
0.22896942,0.0,0.0,0.0,0.0
0.2378466,0.0,0.0,0.0,0.0
0.24863899,0.0,0.0,0.0,0.0
0.2578251,0.0,0.0,0.0,0.0
0.26860678,0.0,0.0,0.0,0.0
0.27775356,0.0,0.0,0.0,0.0
0.288591,0.0,0.0,0.0,0.0
0.2978403,0.0,0.0,0.0,0.0
0.30858716,0.0,0.0,0.0,0.0
0.31769747,0.0,0.0,0.0,0.0
0.3290751,0.0,0.0,0.0,0.0
0.3377594,0.0,0.0,0.0,0.0
0.34852105,0.0,0.0,0.0,0.0
0.3576471,0.0,0.0,0.0,0.0
0.3684979,0.0,0.0,0.0,0.0
0.3776771,0.0,0.0,0.0,0.0
0.38846996,0.0,0.0,0.0,0.0
0.3977319,0.0,0.0,0.0,0.0
0.40847734,0.0,0.0,0.0,0.0
0.41758358,0.0,0.0,0.0,0.0
0.4287016,0.0,0.0,0.0,0.0
0.4376398,0.0,0.0,0.0,0.0
0.44841647,0.0,0.0,0.0,0.0
0.45769125,0.0,0.0,0.0,0.0
0.46842143,0.0,0.0,0.0,0.0
0.47753936,0.0,0.0,0.0,0.0
0.4884052,0.0,0.0,0.0,0.0
0.4975174,0.0,0.0,0.0,0.0
0.508362,0.0,0.0,0.0,0.0
0.51747495,0.0,0.0,0.0,0.0
0.5289091,0.0,0.0,0.0,0.0
0.53748924,0.0,0.0,0.0,0.0
0.54834074,0.0,0.0,0.0,0.0
