phase,wheel0_factor,wheel0_tooth_error_pct_of_pitch,wheel1_factor,wheel1_tooth_error_pct_of_pitch,wheel2_factor,wheel2_tooth_error_pct_of_pitch,wheel3_factor,wheel3_tooth_error_pct_of_pitch
0,1.00134082,0.13408173,1.00193376,0.19337580,1.00227434,0.22743397,0.99890977,-0.10902313
1,1.00109244,0.10924397,1.00168599,0.16859864,1.00116152,0.11615240,0.99953108,-0.04689233
2,1.00059548,0.05954805,1.00150014,0.15001403,1.00031483,0.03148277,0.99924720,-0.07528011
3,0.99980963,-0.01903696,1.00093230,0.09323013,0.99910275,-0.08972473,0.99979782,-0.02021832
4,0.99929734,-0.07026634,0.99996498,-0.00350150,0.99902837,-0.09716262,0.99917405,-0.08259540
5,0.99918163,-0.08183684,0.99948304,-0.05169629,0.99853790,-0.14621001,0.99806694,-0.19330572
6,0.99947552,-0.05244784,0.99903740,-0.09625973,0.99816079,-0.18392088,0.99849138,-0.15086159
7,0.99957639,-0.04236144,0.99899740,-0.10025978,0.99790845,-0.20915527,0.99849534,-0.15046596
8,1.00031360,0.03136031,0.99891060,-0.10893960,0.99748585,-0.25141454,0.99922476,-0.07752359
9,1.00076823,0.07682260,0.99881437,-0.11856267,0.99837451,-0.16254884,0.99954172,-0.04582807
10,1.00095328,0.09532761,0.99830946,-0.16905350,0.99987893,-0.01210737,1.00041824,0.04182442
11,1.00084647,0.08464678,0.99803800,-0.19619956,0.99897176,-0.10282443,1.00161721,0.16172085
12,1.00094233,0.09423299,0.99774385,-0.22561504,0.99971163,-0.02883718,1.00175666,0.17566566
13,1.00090566,0.09056590,0.99795570,-0.20443048,1.00072852,0.07285231,1.00127896,0.12789634
14,1.00098811,0.09881107,0.99818416,-0.18158356,1.00070585,0.07058486,1.00208646,0.20864572
15,1.00074653,0.07465293,0.99845960,-0.15404039,1.00022937,0.02293739,1.00127919,0.12791945
16,1.00076631,0.07663143,0.99849716,-0.15028398,0.99993434,-0.00656648,1.00123699,0.12369874
17,1.00069243,0.06924279,0.99830979,-0.16902051,1.00073941,0.07394053,1.00189373,0.18937328
18,1.00030683,0.03068315,0.99842963,-0.15703688,1.00147545,0.14754529,1.00135402,0.13540222
19,1.00008328,0.00832811,0.99837561,-0.16243933,1.00187362,0.18736216,1.00344965,0.34496455
20,1.00031380,0.03137968,0.99858676,-0.14132406,1.00217891,0.21789054,1.00244440,0.24443976
21,1.00028555,0.02855549,0.99851197,-0.14880273,1.00027523,0.02752349,1.00020854,0.02085446
22,1.00031321,0.03132118,0.99826511,-0.17348890,0.99996786,-0.00321384,1.00067057,0.06705727
23,1.00022187,0.02218683,0.99824321,-0.17567925,0.99998197,-0.00180319,1.00065000,0.06500012
24,0.99986462,-0.01353837,0.99843452,-0.15654820,1.00062793,0.06279324,1.00045714,0.04571414
25,0.99948414,-0.05158631,0.99877990,-0.12200978,0.99921865,-0.07813513,0.99987134,-0.01286631
26,0.99920485,-0.07951504,0.99917792,-0.08220776,1.00006785,0.00678541,0.99983185,-0.01681548
27,0.99932229,-0.06777062,0.99932149,-0.06785054,0.99964785,-0.03521485,1.00022654,0.02265373
28,0.99942449,-0.05755083,0.99955859,-0.04414072,0.99811408,-0.18859203,1.00051006,0.05100554
29,0.99927358,-0.07264245,0.99980322,-0.01967766,0.99985177,-0.01482296,1.00051351,0.05135054
30,0.99923239,-0.07676145,0.99990720,-0.00927950,1.00072465,0.07246499,0.99985471,-0.01452853
31,0.99925822,-0.07417843,1.00044438,0.04443787,1.00305411,0.30541088,0.99986551,-0.01344906
32,0.99910757,-0.08924297,1.00069698,0.06969809,0.99863712,-0.13628767,0.99888879,-0.11112082
33,0.99896509,-0.10349105,1.00103328,0.10332764,0.99881873,-0.11812725,0.99912935,-0.08706470
34,0.99915283,-0.08471664,1.00125218,0.12521787,0.99712602,-0.28739843,0.99778851,-0.22114898
35,0.99903222,-0.09677824,1.00183162,0.18316246,0.99629870,-0.37012991,0.99700544,-0.29945582
36,0.99889884,-0.11011572,1.00233500,0.23349970,0.99755036,-0.24496386,0.99652920,-0.34708020
37,0.99896395,-0.10360465,1.00266910,0.26690953,0.99901124,-0.09887648,0.99653781,-0.34621895
38,0.99932791,-0.06720939,1.00254638,0.25463841,0.99928150,-0.07184956,0.99812486,-0.18751417
39,0.99929782,-0.07021845,1.00218577,0.21857740,0.99947879,-0.05212145,0.99909278,-0.09072158
40,0.99940847,-0.05915311,1.00192029,0.19202913,0.99979599,-0.02040126,1.00021250,0.02124966
41,0.99942880,-0.05712021,1.00160918,0.16091783,1.00008566,0.00856625,1.00053498,0.05349837
42,0.99947004,-0.05299598,1.00131730,0.13173039,1.00157342,0.15734175,0.99963422,-0.03657789
43,0.99992045,-0.00795462,1.00112206,0.11220633,1.00197977,0.19797653,1.00132288,0.13228826
44,1.00072107,0.07210699,1.00132986,0.13298595,1.00217812,0.21781223,1.00094146,0.09414641
45,1.00104733,0.10473309,1.00165762,0.16576249,1.00295000,0.29499989,1.00134238,0.13423838
46,1.00123800,0.12379967,1.00189466,0.18946635,1.00253205,0.25320453,1.00120752,0.12075222
47,1.00113832,0.11383162,1.00200146,0.20014587,1.00239349,0.23934880,0.99975197,-0.02480341
