phase,wheel0_factor,wheel0_tooth_error_pct_of_pitch,wheel1_factor,wheel1_tooth_error_pct_of_pitch,wheel2_factor,wheel2_tooth_error_pct_of_pitch,wheel3_factor,wheel3_tooth_error_pct_of_pitch
0,0.99923571,-0.07642888,0.99842341,-0.15765870,0.99865386,-0.13461364,0.99930514,-0.06948637
1,0.99938035,-0.06196469,0.99825316,-0.17468415,0.99882050,-0.11794959,1.00054979,0.05497873
2,1.00002178,0.00217756,0.99804736,-0.19526421,0.99938501,-0.06149883,1.00040350,0.04034998
3,1.00063343,0.06334327,0.99795162,-0.20483779,1.00004926,0.00492621,1.00041814,0.04181428
4,1.00115703,0.11570295,0.99822383,-0.17761695,1.00171653,0.17165316,1.00001973,0.00197311
5,1.00123297,0.12329698,0.99862854,-0.13714628,1.00207852,0.20785187,0.99929610,-0.07039049
6,1.00078181,0.07818071,0.99871786,-0.12821435,1.00216785,0.21678480,0.99863167,-0.13683263
7,1.00013963,0.01396302,0.99861340,-0.13865957,1.00273449,0.27344917,0.99911713,-0.08828654
8,0.99958651,-0.04134902,0.99842822,-0.15717827,1.00225290,0.22528966,0.99954038,-0.04596156
9,0.99928178,-0.07182228,0.99857878,-0.14212181,1.00204551,0.20455086,0.99956076,-0.04392384
10,0.99895725,-0.10427540,0.99878243,-0.12175730,1.00227938,0.22793774,0.99933386,-0.06661408
11,0.99865542,-0.13445795,0.99886122,-0.11387781,1.00127393,0.12739274,0.99871331,-0.12866895
12,0.99872401,-0.12759902,0.99865911,-0.13408932,1.00048482,0.04848243,1.00017919,0.01791948
13,0.99916740,-0.08326009,0.99862292,-0.13770841,0.99923778,-0.07622174,1.00005174,0.00517351
14,0.99937846,-0.06215388,0.99873328,-0.12667176,0.99912308,-0.08769212,1.00103893,0.10389280
15,0.99990374,-0.00962610,0.99911087,-0.08891349,0.99866790,-0.13321016,1.00073160,0.07315978
16,1.00002176,0.00217590,0.99944328,-0.05567161,0.99841583,-0.15841722,1.00265056,0.26505560
17,0.99988209,-0.01179115,0.99980689,-0.01931121,0.99834346,-0.16565397,1.00271452,0.27145198
18,0.99958921,-0.04107899,0.99997776,-0.00222408,0.99816011,-0.18398867,1.00311000,0.31099964
19,0.99941219,-0.05878059,1.00032245,0.03224538,0.99919413,-0.08058669,1.00265600,0.26559995
20,0.99919860,-0.08014038,1.00051078,0.05107840,1.00060114,0.06011372,1.00316066,0.31606578
21,0.99887914,-0.11208605,1.00082256,0.08225567,0.99943852,-0.05614825,1.00296057,0.29605662
22,0.99884356,-0.11564423,1.00113606,0.11360604,0.99993198,-0.00680237,1.00360378,0.36037814
23,0.99877689,-0.12231121,1.00139033,0.13903305,1.00074959,0.07495925,1.00413869,0.41386877
24,0.99911332,-0.08866824,1.00082282,0.08228170,1.00058264,0.05826367,1.00515087,0.51508712
25,1.00002173,0.00217259,1.00156508,0.15650776,0.99994988,-0.00501228,1.00498507,0.49850730
26,1.00061928,0.06192781,1.00218599,0.21859887,0.99946684,-0.05331623,1.00414172,0.41417186
27,1.00117859,0.11785850,1.00226768,0.22676756,1.00011708,0.01170776,1.00193022,0.19302210
28,1.00149250,0.14924952,1.00196594,0.19659382,1.00084435,0.08443499,1.00293288,0.29328836
29,1.00178290,0.17828953,1.00202631,0.20263091,1.00144307,0.14430664,1.00274488,0.27448763
30,1.00165965,0.16596521,1.00201755,0.20175480,1.00201008,0.20100752,1.00091083,0.09108315
31,1.00124638,0.12463796,1.00154955,0.15495530,1.00013462,0.01346218,1.00104490,0.10449019
32,1.00029089,0.02908934,1.00124009,0.12400944,0.99995731,-0.00426899,1.00045729,0.04572861
33,0.99931471,-0.06852903,1.00098950,0.09895007,1.00000672,0.00067211,1.00055995,0.05599513
34,0.99865118,-0.13488180,1.00087893,0.08789347,1.00079601,0.07960093,1.00029745,0.02974520
35,0.99830557,-0.16944328,1.00106655,0.10665451,0.99952700,-0.04730010,0.99965516,-0.03448418
36,0.99859694,-0.14030568,1.00111101,0.11110067,1.00030448,0.03044825,0.99911539,-0.08846106
37,0.99916397,-0.08360318,1.00108217,0.10821741,0.99977309,-0.02269095,0.99832269,-0.16773071
38,1.00000033,0.00003332,1.00137150,0.13714955,0.99816001,-0.18399863,0.99759576,-0.24042431
39,1.00086613,0.08661283,1.00146513,0.14651342,0.99965767,-0.03423251,0.99678027,-0.32197318
40,1.00134482,0.13448181,1.00134344,0.13434354,1.00052761,0.05276122,0.99474647,-0.52535276
41,1.00164135,0.16413513,1.00111967,0.11196686,1.00302258,0.30225753,0.99385386,-0.61461391
42,1.00173674,0.17367404,1.00026716,0.02671625,0.99902636,-0.09736433,0.99315836,-0.68416401
43,1.00149604,0.14960371,0.99948150,-0.05185027,0.99919714,-0.08028594,0.99386046,-0.61395444
44,1.00100314,0.10031406,0.99881823,-0.11817735,0.99751221,-0.24877901,0.99470258,-0.52974160
45,1.00039451,0.03945052,0.99850364,-0.14963640,0.99650033,-0.34996748,0.99621683,-0.37831668
46,0.99987137,-0.01286284,0.99835372,-0.16462818,0.99728889,-0.27111142,0.99729528,-0.27047198
47,0.99936728,-0.06327231,0.99846075,-0.15392519,0.99838797,-0.16120328,0.99765508,-0.23449152
