wheel,valid_points,mean_rad_s,median_rad_s,residual_std_pct,residual_p95_abs_pct,residual_p99_abs_pct,series
0,51882,56.96547588,58.55499615,0.23871100,0.28290929,0.62715411,raw_reference
1,51906,56.55155232,58.12081249,0.29752024,0.34702403,0.69319547,raw_reference
2,51770,56.70325656,58.19057297,0.30263098,0.40820723,1.07515335,raw_reference
3,51972,56.49064212,58.10017483,0.53754826,1.06670020,1.90852832,raw_reference
0,51882,56.96549247,58.56052245,0.22964812,0.26673486,0.61794076,phase_corrected
1,51906,56.55156363,58.12697608,0.25883814,0.27342264,0.66619980,phase_corrected
2,51770,56.70325845,58.20266789,0.26807454,0.34997378,0.94723901,phase_corrected
3,51972,56.49065732,58.09983042,0.49808248,1.04958531,1.88929892,phase_corrected
0,51882,56.61824403,58.27476634,2.52924624,3.61253719,4.18025545,reference_compensation_on
1,51906,56.35847842,57.91381214,1.05877815,2.09529538,2.37251416,reference_compensation_on
2,51770,56.39722562,57.97665599,2.38795257,3.34864849,3.76745655,reference_compensation_on
3,51972,56.26370504,58.10017483,2.13668692,2.35544652,3.19536215,reference_compensation_on
0,51882,57.30457960,59.26415117,2.43066765,3.52628045,4.06887418,reference_plus_or_diagnostic
1,51906,56.74295240,58.48958619,1.03528261,2.04908457,2.31853546,reference_plus_or_diagnostic
2,51770,57.00277966,58.78508764,2.30769724,3.29513146,3.71885294,reference_plus_or_diagnostic
3,51972,56.71360280,58.53666662,2.02242477,2.33385880,3.24404070,reference_plus_or_diagnostic
